p_geometry,p_merge,p_local,rectangles,execution_time,fitness
0.05,0.05,0.05,638,162.36191082000732,3684.4800000000005
0.05,0.05,0.1,637,161.83154034614563,3685.4800000000005
0.05,0.05,0.2,637,182.73814129829407,3685.4800000000005
0.05,0.05,0.3,637,166.89300966262817,3685.4800000000005
0.05,0.1,0.05,637,124.67788672447205,3685.4800000000005
0.05,0.1,0.1,638,122.54780864715576,3684.4800000000005
0.05,0.1,0.2,637,121.77009129524231,3685.4800000000005
0.05,0.1,0.3,637,116.03471612930298,3685.4800000000005
0.05,0.2,0.05,637,88.51452994346619,3685.4800000000005
0.05,0.2,0.1,637,88.94373202323914,3685.4800000000005
0.05,0.2,0.2,637,86.62204623222351,3685.4800000000005
0.05,0.2,0.3,637,94.09463834762573,3685.4800000000005
0.05,0.3,0.05,637,77.42437314987183,3685.4800000000005
0.05,0.3,0.1,637,71.32179808616638,3685.4800000000005
0.05,0.3,0.2,637,74.50333499908447,3685.4800000000005
0.05,0.3,0.3,637,75.82195997238159,3685.4800000000005
0.1,0.05,0.05,637,184.4826784133911,3685.4800000000005
0.1,0.05,0.1,637,173.14721989631653,3685.4800000000005
0.1,0.05,0.2,637,169.1658055782318,3685.4800000000005
0.1,0.05,0.3,637,177.66406393051147,3685.4800000000005
0.1,0.1,0.05,637,128.14461636543274,3685.4800000000005
0.1,0.1,0.1,637,119.95540142059326,3685.4800000000005
0.1,0.1,0.2,637,121.00693702697754,3685.4800000000005
0.1,0.1,0.3,637,118.41972088813782,3685.4800000000005
0.1,0.2,0.05,637,97.11428046226501,3685.4800000000005
0.1,0.2,0.1,637,98.99869656562805,3685.4800000000005
0.1,0.2,0.2,637,90.65695023536682,3685.4800000000005
0.1,0.2,0.3,637,96.37491774559021,3685.4800000000005
0.1,0.3,0.05,637,87.18452286720276,3685.4800000000005
0.1,0.3,0.1,637,85.36646866798401,3685.4800000000005
0.1,0.3,0.2,637,93.76685380935669,3685.4800000000005
0.1,0.3,0.3,637,100.67313838005066,3685.4800000000005
0.2,0.05,0.05,637,232.01078820228577,3685.4800000000005
0.2,0.05,0.1,637,205.46704745292664,3685.4800000000005
0.2,0.05,0.2,637,234.8931143283844,3685.4800000000005
0.2,0.05,0.3,637,209.7240469455719,3685.4800000000005
0.2,0.1,0.05,637,154.8009831905365,3685.4800000000005
0.2,0.1,0.1,637,156.97838401794434,3685.4800000000005
0.2,0.1,0.2,637,161.35676527023315,3685.4800000000005
0.2,0.1,0.3,637,161.85768508911133,3685.4800000000005
0.2,0.2,0.05,637,119.83213424682617,3685.4800000000005
0.2,0.2,0.1,637,108.6606650352478,3685.4800000000005
0.2,0.2,0.2,637,111.22157955169678,3685.4800000000005
0.2,0.2,0.3,637,101.6268002986908,3685.4800000000005
0.2,0.3,0.05,638,94.22184324264526,3684.4800000000005
0.2,0.3,0.1,637,85.02437782287598,3685.4800000000005
0.2,0.3,0.2,637,96.16271424293518,3685.4800000000005
0.2,0.3,0.3,637,101.48149538040161,3685.4800000000005
0.3,0.05,0.05,637,223.48182249069214,3685.4800000000005
0.3,0.05,0.1,638,210.9259102344513,3684.4800000000005
0.3,0.05,0.2,639,211.5127100944519,3683.4800000000005
0.3,0.05,0.3,637,238.386212348938,3685.4800000000005
0.3,0.1,0.05,637,163.2766170501709,3685.4800000000005
0.3,0.1,0.1,637,154.55456495285034,3685.4800000000005
0.3,0.1,0.2,637,144.66016340255737,3685.4800000000005
0.3,0.1,0.3,637,139.29700350761414,3685.4800000000005
0.3,0.2,0.05,637,105.57647752761841,3685.4800000000005
0.3,0.2,0.1,637,102.74233818054199,3685.4800000000005
0.3,0.2,0.2,637,102.74779629707336,3685.4800000000005
0.3,0.2,0.3,637,101.01594185829163,3685.4800000000005
0.3,0.3,0.05,637,86.76289772987366,3685.4800000000005
0.3,0.3,0.1,637,94.4648904800415,3685.4800000000005
0.3,0.3,0.2,637,93.46091198921204,3685.4800000000005
0.3,0.3,0.3,637,87.1908929347992,3685.4800000000005
