image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,44669040,15,91,2.17,12551.0,14
Berberis_vulgaris.npy,44669040,15,203,5.91,45323.0,18
Betula_papyrifera.npy,44669040,15,1051,92.99,633246.0,29
Betula_pendula.npy,44669040,15,345,23.1,86704.0,19
Clematis_vitalba.npy,44669040,15,1013,114.77,481398.0,46
Fallopia_aubertii.npy,44669040,15,343,17.36,117957.0,17
Frangula_alnus.npy,44669040,15,426,17.25,172838.0,18
Hedera_helixSTERILE.npy,44669040,15,1452,241.6,646838.0,31
Koelreuteria_paniculata.npy,44669040,15,752,46.25,380280.0,32
Laburnum_anagyroides.npy,44669040,15,262,8.1,87656.0,14
Physocarpus_opulifolius.npy,44669040,15,636,47.02,330853.0,28
Quercus_cerris.npy,44669040,15,1171,97.38,713439.0,23
Quercus_palustris.npy,44669040,15,1756,165.62,310682.0,41
Robinia_viscosa.npy,44669040,15,335,16.19,135949.0,19
Sorbus_intermedia.npy,44669040,15,953,87.33,651436.0,51
Syringa_chinensis.npy,44669040,15,350,15.4,114776.0,16
Tilia_cordata.npy,44669040,15,446,27.68,209135.0,21
Tilia_tomentosa.npy,44669040,15,1038,107.28,793778.0,27
Viburnum_rhytidophyllum.npy,44669040,15,584,76.53,612567.0,17
Zelkova_serrata.npy,44669040,15,916,101.58,756506.0,29
