image_title,GDM,M-GDM,SBD,CBD
catalpa_bignonioides_1,2198,2174.0,2329.0,2167.0
colutea_arborescens_1,314,289.0,319.0,289.0
corylus_avellana_1,2341,2453.0,2502.0,2309.0
cotinus_coggygria_2,1136,1029.0,1106.0,1028.0
fallopia_aubertii_4,514,419.0,466.0,419.0
forsythia_intermedia_6,527,397.0,515.0,397.0
ginkgo_biloba_3,1390,1147.0,1265.0,1146.0
ginkgo_biloba_4,1391,1348.0,1460.0,1334.0
hamamelis_japonica_8,949,844.0,911.0,843.0
hedera_helix_7,2569,2720.0,2877.0,2542.0
hedera_helix_2,1278,1300.0,1396.0,1263.0
ilex_aquifolium_3,1252,1215.0,1381.0,1239.0
koelreuteria_paniculata_1,882,911.0,994.0,868.0
liquidambar_styraciflua_1,4737,4606.0,5199.0,4581.0
liquidambar_styraciflua_8,4311,3969.0,4435.0,3780.0
liriodendron_tulipifera_4,1500,1609.0,1710.0,1477.0
liriodendron_tulipifera_5,1170,1216.0,1322.0,1160.0
magnolia_soulangeana_1,1887,1606.0,1894.0,1607.0
mahonia_aquifolium_1,652,600.0,632.0,600.0
morus_alba_1,1037,963.0,1056.0,962.0
parthenocissus_tricuspidata_1,1407,1273.0,1489.0,1308.0
paulownia_tomentosa_8,4746,4524.0,5040.0,4534.0
paulownia_tomentosa_16,5365,4909.0,5315.0,4801.0
platanus_hybrida_3,3405,3535.0,3884.0,3297.0
populus_nigra_2,1488,1337.0,1484.0,1337.0
populus_tremula_5,1389,1255.0,1374.0,1251.0
pyracantha_coccinea_18,439,294.0,383.0,294.0
quercus_cerris_5,1613,1397.0,1652.0,1397.0
quercus_frainetto_1,2417,2467.0,2837.0,2412.0
quercus_petraea_1,1463,1364.0,1452.0,1364.0
quercus_robur_2,923,873.0,953.0,904.0
quercus_rubra_3,3679,3843.0,4441.0,3519.0
ribes_alpinum_3,441,432.0,455.0,434.0
robinia_pseudacacia_3,326,268.0,317.0,268.0
salix_alba_pendula_2,717,480.0,639.0,479.0
sophora_japonica_5,482,368.0,392.0,368.0
sorbus_aria_1,1571,1378.0,1543.0,1380.0
sorbus_domestica_8,511,361.0,505.0,361.0
sorbus_intermedia_3,1555,1493.0,1735.0,1516.0
tilia_platyphyllos_1,2061,2141.0,2285.0,2021.0
tilia_platyphyllos_2,2132,1986.0,2159.0,1979.0
tilia_platyphyllos_3,1949,1826.0,2056.0,1863.0
tilia_platyphyllos_4,2176,2092.0,2253.0,2084.0
tilia_platyphyllos_5,2206,2074.0,2215.0,2097.0
tilia_platyphyllos_6,1913,1799.0,1959.0,1828.0
ulmus_glabra_4,2564,2357.0,2776.0,2354.0
ulmus_laevis_1,1697,1581.0,1726.0,1641.0
ulmus_laevis_2,1577,1385.0,1589.0,1381.0
ulmus_laevis_3,1372,1215.0,1332.0,1215.0
ulmus_laevis_4,1412,1263.0,1408.0,1260.0
ulmus_laevis_5,1532,1383.0,1570.0,1382.0
ulmus_laevis_6,1500,1362.0,1455.0,1362.0
ulmus_laevis_7,1484,1368.0,1496.0,1370.0
ulmus_laevis_8,1605,1434.0,1647.0,1574.0
ulmus_laevis_9,1974,1863.0,1995.0,1862.0
vinca_minor_6,388,283.0,387.0,283.0
vitis_vinifera_2,4024,3947.0,4500.0,3972.0
vitis_vinifera_3,3141,3050.0,3198.0,3067.0
