image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,56798088,15,91,3.03,12551.0,19
Berberis_vulgaris.npy,56798088,15,203,6.75,45323.0,24
Betula_papyrifera.npy,56798088,15,1060,100.86,633156.0,35
Betula_pendula.npy,56798088,15,345,23.47,86704.0,26
Clematis_vitalba.npy,56798088,15,1013,107.78,481398.0,39
Fallopia_aubertii.npy,56798088,15,343,20.69,117957.0,20
Frangula_alnus.npy,56798088,15,426,27.54,172838.0,27
Hedera_helixSTERILE.npy,56798088,15,1447,382.44,646888.0,54
Koelreuteria_paniculata.npy,56798088,15,752,57.96,380280.0,44
Laburnum_anagyroides.npy,56798088,15,262,10.28,87656.0,14
Physocarpus_opulifolius.npy,56798088,15,636,63.08,330853.0,46
Quercus_cerris.npy,56798088,15,1171,104.85,713439.0,33
Quercus_palustris.npy,56798088,15,1790,165.13,310342.0,55
Robinia_viscosa.npy,56798088,15,335,20.43,135949.0,27
Sorbus_intermedia.npy,56798088,15,956,99.55,651406.0,54
Syringa_chinensis.npy,56798088,15,350,19.65,114776.0,21
Tilia_cordata.npy,56798088,15,446,28.29,209135.0,33
Tilia_tomentosa.npy,56798088,15,1038,157.07,793778.0,41
Viburnum_rhytidophyllum.npy,56798088,15,584,112.3,612567.0,25
Zelkova_serrata.npy,56798088,15,916,123.66,756506.0,33
