image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
HCircle-10_binary.npy,67345648,15,127,6.36,47774.0,31
bat-10_binary.npy,67345648,15,389,18.9,50359.0,29
bottle-01_binary.npy,67345648,15,36,3.37,3900.0,24
cattle-10_binary.npy,67345648,15,435,30.13,112641.0,71
cellular_phone-10_binary.npy,67345648,15,64,8.42,48081.0,40
crown-10_binary.npy,67345648,15,101,3.71,7824.0,38
cup-10_binary.npy,67345648,15,171,8.99,40912.0,31
device2-10_binary.npy,67345648,15,537,29.08,75035.0,50
device7-10_binary.npy,67345648,15,764,50.81,93163.0,42
elephant-10_binary.npy,67345648,15,257,11.57,40246.0,29
fly-10_binary.npy,67345648,15,408,18.82,36451.0,56
hat-10_binary.npy,67345648,15,50,2.5,12237.0,38
horse-10_binary.npy,67345648,15,466,20.46,27937.0,47
horseshoe-10_binary.npy,67345648,15,44,0.97,1781.0,29
jar-10_binary.npy,67345648,15,290,17.23,97860.0,37
key-10_binary.npy,67345648,15,136,7.48,20579.0,28
lizzard-10_binary.npy,67345648,15,426,13.81,56320.0,34
pencil-10_binary.npy,67345648,15,58,5.36,11131.0,13
personal_car-10_binary.npy,67345648,15,152,6.63,34524.0,30
tree-10_binary.npy,67345648,15,114,4.22,14485.0,28
