image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,56798088,15,91,2.39,12551.0,16
Berberis_vulgaris.npy,56798088,15,203,6.52,45323.0,19
Betula_papyrifera.npy,56798088,15,1047,102.37,633286.0,31
Betula_pendula.npy,56798088,15,345,18.0,86704.0,21
Clematis_vitalba.npy,56798088,15,989,103.26,481638.0,48
Fallopia_aubertii.npy,56798088,15,343,21.29,117957.0,17
Frangula_alnus.npy,56798088,15,426,18.49,172838.0,18
Hedera_helixSTERILE.npy,56798088,15,1447,139.93,646888.0,38
Koelreuteria_paniculata.npy,56798088,15,752,41.77,380280.0,27
Laburnum_anagyroides.npy,56798088,15,262,7.55,87656.0,15
Physocarpus_opulifolius.npy,56798088,15,636,39.55,330853.0,30
Quercus_cerris.npy,56798088,15,1171,82.13,713439.0,22
Quercus_palustris.npy,56798088,15,1769,140.48,310552.0,40
Robinia_viscosa.npy,56798088,15,335,17.75,135949.0,18
Sorbus_intermedia.npy,56798088,15,965,71.21,651316.0,35
Syringa_chinensis.npy,56798088,15,350,15.26,114776.0,15
Tilia_cordata.npy,56798088,15,446,24.32,209135.0,25
Tilia_tomentosa.npy,56798088,15,1038,181.37,793778.0,28
Viburnum_rhytidophyllum.npy,56798088,15,584,60.97,612567.0,19
Zelkova_serrata.npy,56798088,15,916,71.59,756506.0,19
