image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,59661460,15,91,4.72,12551.0,27
Berberis_vulgaris.npy,59661460,15,203,12.08,45323.0,30
Betula_papyrifera.npy,59661460,15,1056,175.07,633196.0,49
Betula_pendula.npy,59661460,15,345,41.11,86704.0,44
Clematis_vitalba.npy,59661460,15,999,153.57,481538.0,57
Fallopia_aubertii.npy,59661460,15,343,36.85,117957.0,35
Frangula_alnus.npy,59661460,15,426,31.06,172838.0,35
Hedera_helixSTERILE.npy,59661460,15,1450,298.13,646858.0,73
Koelreuteria_paniculata.npy,59661460,15,752,72.87,380280.0,53
Laburnum_anagyroides.npy,59661460,15,262,16.47,87656.0,29
Physocarpus_opulifolius.npy,59661460,15,636,90.56,330853.0,57
Quercus_cerris.npy,59661460,15,1171,160.17,713439.0,44
Quercus_palustris.npy,59661460,15,1768,356.5,310562.0,76
Robinia_viscosa.npy,59661460,15,335,35.29,135949.0,43
Sorbus_intermedia.npy,59661460,15,952,143.65,651446.0,69
Syringa_chinensis.npy,59661460,15,350,37.14,114776.0,34
Tilia_cordata.npy,59661460,15,446,48.77,209135.0,51
Tilia_tomentosa.npy,59661460,15,1038,223.42,793778.0,57
Viburnum_rhytidophyllum.npy,59661460,15,584,139.01,612567.0,35
Zelkova_serrata.npy,59661460,15,916,157.28,756506.0,48
