image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,4243692,15,91,2.68,12551.0,17
Berberis_vulgaris.npy,4243692,15,203,6.9,45323.0,22
Betula_papyrifera.npy,4243692,15,1056,90.91,633196.0,32
Betula_pendula.npy,4243692,15,345,28.14,86704.0,30
Clematis_vitalba.npy,4243692,15,988,123.85,481648.0,49
Fallopia_aubertii.npy,4243692,15,343,31.7,117957.0,31
Frangula_alnus.npy,4243692,15,426,20.59,172838.0,23
Hedera_helixSTERILE.npy,4243692,15,1452,233.34,646838.0,40
Koelreuteria_paniculata.npy,4243692,15,752,58.92,380280.0,49
Laburnum_anagyroides.npy,4243692,15,262,10.49,87656.0,19
Physocarpus_opulifolius.npy,4243692,15,636,57.96,330853.0,41
Quercus_cerris.npy,4243692,15,1171,138.84,713439.0,30
Quercus_palustris.npy,4243692,15,1781,165.49,310432.0,48
Robinia_viscosa.npy,4243692,15,335,25.21,135949.0,22
Sorbus_intermedia.npy,4243692,15,951,109.77,651456.0,67
Syringa_chinensis.npy,4243692,15,350,18.44,114776.0,18
Tilia_cordata.npy,4243692,15,446,36.86,209135.0,32
Tilia_tomentosa.npy,4243692,15,1038,167.06,793778.0,47
Viburnum_rhytidophyllum.npy,4243692,15,584,129.91,612567.0,21
Zelkova_serrata.npy,4243692,15,916,121.83,756506.0,28
