image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,56798088,15,91,2.4,12551.0,15
Berberis_vulgaris.npy,56798088,15,203,6.06,45323.0,17
Betula_papyrifera.npy,56798088,15,1060,103.98,633156.0,22
Betula_pendula.npy,56798088,15,345,23.94,86704.0,20
Clematis_vitalba.npy,56798088,15,999,87.64,481538.0,30
Fallopia_aubertii.npy,56798088,15,343,18.48,117957.0,17
Frangula_alnus.npy,56798088,15,426,17.55,172838.0,17
Hedera_helixSTERILE.npy,56798088,15,1449,167.69,646868.0,34
Koelreuteria_paniculata.npy,56798088,15,752,39.47,380280.0,28
Laburnum_anagyroides.npy,56798088,15,262,7.71,87656.0,15
Physocarpus_opulifolius.npy,56798088,15,636,38.52,330853.0,25
Quercus_cerris.npy,56798088,15,1171,99.59,713439.0,22
Quercus_palustris.npy,56798088,15,1779,183.36,310452.0,41
Robinia_viscosa.npy,56798088,15,335,13.96,135949.0,17
Sorbus_intermedia.npy,56798088,15,953,65.94,651436.0,30
Syringa_chinensis.npy,56798088,15,350,13.46,114776.0,14
Tilia_cordata.npy,56798088,15,446,21.84,209135.0,25
Tilia_tomentosa.npy,56798088,15,1038,124.52,793778.0,28
Viburnum_rhytidophyllum.npy,56798088,15,584,75.29,612567.0,18
Zelkova_serrata.npy,56798088,15,916,86.04,756506.0,21
