image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Bone-10_binary.npy,78552192,20,381,5.84,27570.0,9
Comma-10_binary.npy,78552192,20,166,3.02,67109.0,9
Glas-10_binary.npy,78552192,20,185,3.69,49845.0,9
HCircle-10_binary.npy,78552192,20,127,2.22,47774.0,9
Heart-10_binary.npy,78552192,20,412,7.32,99829.0,9
Misk-10_binary.npy,78552192,20,368,6.84,88731.0,9
apple-10_binary.npy,78552192,20,131,1.88,26707.0,9
bat-10_binary.npy,78552192,20,389,9.29,50359.0,9
beetle-10_binary.npy,78552192,20,349,8.57,15180.0,9
bell-10_binary.npy,78552192,20,211,3.64,77565.0,9
