image_name,seed,pop_size,rectangle_count,execution_time_sec,final_fitness,generations_used
Berberis_thunbergii.npy,64101990,15,91,1.49,12551.0,6
Berberis_vulgaris.npy,64101990,15,206,5.99,45293.0,7
Betula_papyrifera.npy,64101990,15,1094,19.51,632816.0,5
Betula_pendula.npy,64101990,15,346,10.31,86694.0,20
Clematis_vitalba.npy,64101990,15,1065,20.62,480878.0,11
Fallopia_aubertii.npy,64101990,15,346,4.45,117927.0,6
Frangula_alnus.npy,64101990,15,426,6.6,172838.0,15
Hedera_helixSTERILE.npy,64101990,15,1468,68.67,646678.0,23
Koelreuteria_paniculata.npy,64101990,15,802,18.39,379780.0,15
Laburnum_anagyroides.npy,64101990,15,265,4.47,87626.0,4
Physocarpus_opulifolius.npy,64101990,15,747,11.84,329743.0,12
Quercus_cerris.npy,64101990,15,1176,31.7,713389.0,15
Quercus_palustris.npy,64101990,15,1836,56.25,309882.0,25
Robinia_viscosa.npy,64101990,15,335,7.41,135949.0,14
Sorbus_intermedia.npy,64101990,15,999,32.02,650976.0,18
Syringa_chinensis.npy,64101990,15,350,4.22,114776.0,9
Tilia_cordata.npy,64101990,15,450,11.33,209095.0,15
Tilia_tomentosa.npy,64101990,15,1088,29.58,793278.0,13
Viburnum_rhytidophyllum.npy,64101990,15,585,24.88,612557.0,13
Zelkova_serrata.npy,64101990,15,918,39.74,756486.0,16
